rollup_key,rollup_scope,rollup_value,role,trainee_category,program_name,lifecycle_code,projected_refresh_date,state_observation_count,person_count,program_count,annual_clock_count,expected_advancement_count,expected_completion_count,source_refresh_required_count,human_review_required_count,stale_by_refresh_count,unexpected_absence_review_count,deterministic_transition_count,source_bound_transition_count,review_bound_transition_count,assurance_status,diff_readiness_status,stale_information_policy,recommended_operator_action,evidence_json
lifecycle_assurance_cd5fd22f47f508a3c97c,corpus,penn_medical_trainees,,,,,2027-08-15,1682,1535,95,1019,659,252,627,131,1669,672,911,627,131,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75, ""US_GME_FELLOWSHIP_1Y"": 92, ""US_GME_FELLOWSHIP_2Y"": 86, ""US_GME_FELLOWSHIP_3Y"": 124, ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 76, ""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_3Y"": 351, ""US_GME_RESIDENCY_4Y"": 137, ""US_GME_RESIDENCY_5Y"": 309, ""US_GME_RESIDENCY_6Y"": 56, ""US_GME_RESIDENCY_7Y"": 21, ""US_GME_RESIDENCY_DURATION_UNKNOWN"": 104, ""US_MD_PHD_MSTP_VARIABLE"": 225, ""none"": 13}, ""dominant_role_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}, ""dominant_trainee_category_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 758, ""expected_absence_after_completion"": 252, ""unexpected_absence_review"": 672}, ""readiness_status_counts"": {""active_no_change_expected"": 13, ""expected_advancement_window"": 659, ""expected_completion_window"": 252, ""review_required_window"": 23, ""source_refresh_required_window"": 627, ""stale_without_transition_review"": 108}}"
lifecycle_assurance_d3d14d76fe48a9ec7b93,lifecycle_code,US_GME_ANESTHESIA_CA_PHASE_3Y,,,,US_GME_ANESTHESIA_CA_PHASE_3Y,2027-08-15,75,75,1,75,52,23,0,0,75,52,75,0,0,deterministic_clock_supported,diff_can_classify_but_missing_rows_need_review,absence after stale-after is expected completion/alumni candidate,accept_expected_advancements_and_completion_absences_with_fresh_observation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75}, ""dominant_role_counts"": {""resident"": 75}, ""dominant_trainee_category_counts"": {""resident"": 75}, ""missing_expectation_counts"": {""expected_absence_after_completion"": 23, ""unexpected_absence_review"": 52}, ""readiness_status_counts"": {""expected_advancement_window"": 52, ""expected_completion_window"": 23}}"
lifecycle_assurance_dfd830f89a3625485365,lifecycle_code,US_GME_FELLOWSHIP_1Y,,,,US_GME_FELLOWSHIP_1Y,2027-08-15,92,92,31,0,0,0,91,1,92,0,0,91,1,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 92}, ""dominant_role_counts"": {""fellow"": 92}, ""dominant_trainee_category_counts"": {""fellow"": 92}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 92}, ""readiness_status_counts"": {""review_required_window"": 1, ""source_refresh_required_window"": 91}}"
lifecycle_assurance_16ca20675fb1f2c5cd0a,lifecycle_code,US_GME_FELLOWSHIP_2Y,,,,US_GME_FELLOWSHIP_2Y,2027-08-15,86,84,8,54,28,26,27,5,86,28,54,27,5,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_2Y"": 86}, ""dominant_role_counts"": {""fellow"": 86}, ""dominant_trainee_category_counts"": {""fellow"": 86}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 32, ""expected_absence_after_completion"": 26, ""unexpected_absence_review"": 28}, ""readiness_status_counts"": {""expected_advancement_window"": 28, ""expected_completion_window"": 26, ""review_required_window"": 5, ""source_refresh_required_window"": 27}}"
lifecycle_assurance_e3565670206eb0831410,lifecycle_code,US_GME_FELLOWSHIP_3Y,,,,US_GME_FELLOWSHIP_3Y,2027-08-15,124,124,5,107,72,35,10,7,124,72,107,10,7,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_3Y"": 124}, ""dominant_role_counts"": {""fellow"": 124}, ""dominant_trainee_category_counts"": {""fellow"": 124}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 17, ""expected_absence_after_completion"": 35, ""unexpected_absence_review"": 72}, ""readiness_status_counts"": {""expected_advancement_window"": 72, ""expected_completion_window"": 35, ""review_required_window"": 7, ""source_refresh_required_window"": 10}}"
lifecycle_assurance_a25ce05a8f84b456ec7f,lifecycle_code,US_GME_FELLOWSHIP_DURATION_UNKNOWN,,,,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,76,74,22,12,0,0,64,12,76,0,0,64,12,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 76}, ""dominant_role_counts"": {""fellow"": 76}, ""dominant_trainee_category_counts"": {""fellow"": 76}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 76}, ""readiness_status_counts"": {""source_refresh_required_window"": 64, ""stale_without_transition_review"": 12}}"
lifecycle_assurance_7cba8faf22f1ba823226,lifecycle_code,US_GME_PRELIMINARY_1Y,,,,US_GME_PRELIMINARY_1Y,2027-08-15,13,13,1,13,0,13,0,0,13,0,13,0,0,deterministic_clock_supported,diff_expected_change_supported,absence after stale-after is expected completion/alumni candidate,allow_completion_absence_or_confirm_alumni_endpoint,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_PRELIMINARY_1Y"": 13}, ""dominant_role_counts"": {""resident"": 13}, ""dominant_trainee_category_counts"": {""resident"": 13}, ""missing_expectation_counts"": {""expected_absence_after_completion"": 13}, ""readiness_status_counts"": {""expected_completion_window"": 13}}"
lifecycle_assurance_26d03bb848756c6c0dd7,lifecycle_code,US_GME_RESIDENCY_3Y,,,,US_GME_RESIDENCY_3Y,2027-08-15,351,240,7,341,234,107,0,10,351,234,341,0,10,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 351}, ""dominant_role_counts"": {""resident"": 351}, ""dominant_trainee_category_counts"": {""resident"": 351}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 10, ""expected_absence_after_completion"": 107, ""unexpected_absence_review"": 234}, ""readiness_status_counts"": {""expected_advancement_window"": 234, ""expected_completion_window"": 107, ""review_required_window"": 10}}"
lifecycle_assurance_1e2a9b6997e31dd6fbca,lifecycle_code,US_GME_RESIDENCY_4Y,,,,US_GME_RESIDENCY_4Y,2027-08-15,137,122,6,130,107,23,7,0,137,107,130,7,0,source_refresh_bound,diff_can_classify_but_missing_rows_need_review,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_RESIDENCY_4Y"": 137}, ""dominant_role_counts"": {""resident"": 137}, ""dominant_trainee_category_counts"": {""resident"": 137}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 7, ""expected_absence_after_completion"": 23, ""unexpected_absence_review"": 107}, ""readiness_status_counts"": {""expected_advancement_window"": 107, ""expected_completion_window"": 23, ""source_refresh_required_window"": 7}}"
lifecycle_assurance_4ecebffe529607f9c73c,lifecycle_code,US_GME_RESIDENCY_5Y,,,,US_GME_RESIDENCY_5Y,2027-08-15,309,309,9,140,123,17,169,0,309,123,140,169,0,source_refresh_bound,diff_can_classify_but_missing_rows_need_review,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_RESIDENCY_5Y"": 309}, ""dominant_role_counts"": {""resident"": 309}, ""dominant_trainee_category_counts"": {""resident"": 309}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 169, ""expected_absence_after_completion"": 17, ""unexpected_absence_review"": 123}, ""readiness_status_counts"": {""expected_advancement_window"": 123, ""expected_completion_window"": 17, ""source_refresh_required_window"": 169}}"
lifecycle_assurance_5bf79c8d839d934167f1,lifecycle_code,US_GME_RESIDENCY_6Y,,,,US_GME_RESIDENCY_6Y,2027-08-15,56,56,3,30,25,5,26,0,56,25,30,26,0,source_refresh_bound,diff_can_classify_but_missing_rows_need_review,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_RESIDENCY_6Y"": 56}, ""dominant_role_counts"": {""resident"": 56}, ""dominant_trainee_category_counts"": {""resident"": 56}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 26, ""expected_absence_after_completion"": 5, ""unexpected_absence_review"": 25}, ""readiness_status_counts"": {""expected_advancement_window"": 25, ""expected_completion_window"": 5, ""source_refresh_required_window"": 26}}"
lifecycle_assurance_6d8c74e5d5c7eaea718c,lifecycle_code,US_GME_RESIDENCY_7Y,,,,US_GME_RESIDENCY_7Y,2027-08-15,21,21,1,21,18,3,0,0,21,18,21,0,0,deterministic_clock_supported,diff_can_classify_but_missing_rows_need_review,absence after stale-after is expected completion/alumni candidate,accept_expected_advancements_and_completion_absences_with_fresh_observation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_RESIDENCY_7Y"": 21}, ""dominant_role_counts"": {""resident"": 21}, ""dominant_trainee_category_counts"": {""resident"": 21}, ""missing_expectation_counts"": {""expected_absence_after_completion"": 3, ""unexpected_absence_review"": 18}, ""readiness_status_counts"": {""expected_advancement_window"": 18, ""expected_completion_window"": 3}}"
lifecycle_assurance_d3de963840a226af8707,lifecycle_code,US_GME_RESIDENCY_DURATION_UNKNOWN,,,,US_GME_RESIDENCY_DURATION_UNKNOWN,2027-08-15,104,104,3,96,0,0,8,96,104,0,0,8,96,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_RESIDENCY_DURATION_UNKNOWN"": 104}, ""dominant_role_counts"": {""resident"": 104}, ""dominant_trainee_category_counts"": {""resident"": 104}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 104}, ""readiness_status_counts"": {""source_refresh_required_window"": 8, ""stale_without_transition_review"": 96}}"
