program_name,role,person_count,program_count,state_observation_count,worst_readiness_status,worst_readiness_priority,dominant_program_coverage_status,expected_advancement_window_count,expected_completion_window_count,source_refresh_required_window_count,review_required_window_count,stale_without_transition_review_count,unexpected_absence_review_count,absence_requires_source_reconciliation_count,expected_absence_after_completion_count,recommended_refresh_action
Cardiovascular Disease Fellowship,fellow,33,1,33,review_required_window,100,covered_current_roster,22,10,0,1,0,22,1,10,review_lifecycle_or_source_before_mutation
Geriatric Medicine Fellowship,fellow,3,1,3,review_required_window,100,covered_current_roster,0,0,2,1,0,0,3,0,review_lifecycle_or_source_before_mutation
Infectious Diseases Fellowship,fellow,15,1,17,review_required_window,100,covered_current_roster,6,6,3,2,0,6,5,6,review_lifecycle_or_source_before_mutation
Internal Medicine Residency - Global Health Equities Track,resident,20,1,32,review_required_window,100,not_in_official_hup_audit,9,15,0,8,0,9,8,15,review_lifecycle_or_source_before_mutation
Internal Medicine Residency - Medical Education Leadership Track,resident,9,1,13,review_required_window,100,not_in_official_hup_audit,2,9,0,2,0,2,2,9,review_lifecycle_or_source_before_mutation
Pulmonary and Critical Care Fellowship,fellow,34,1,34,review_required_window,100,covered_current_roster,16,9,3,6,0,16,9,9,review_lifecycle_or_source_before_mutation
Reproductive Endocrinology and Infertility Fellowship,fellow,6,1,6,review_required_window,100,covered_current_roster,2,2,0,2,0,2,2,2,review_lifecycle_or_source_before_mutation
Rheumatology Fellowship,fellow,15,1,15,review_required_window,100,covered_current_roster,5,5,4,1,0,5,5,5,review_lifecycle_or_source_before_mutation
Internal Medicine Residency - Global Health Equities Track,fellow,2,1,4,stale_without_transition_review,95,not_in_official_hup_audit,0,0,0,0,4,0,4,0,review_lifecycle_or_source_before_mutation
Maternal Fetal Medicine Fellowship,fellow,8,1,8,stale_without_transition_review,95,covered_current_roster,0,0,0,0,8,0,8,0,review_lifecycle_or_source_before_mutation
Pathology - Anatomic and Clinical Residency,resident,44,1,44,stale_without_transition_review,95,covered_current_roster,0,0,0,0,44,0,44,0,review_lifecycle_or_source_before_mutation
Psychiatry Residency,resident,52,1,52,stale_without_transition_review,95,covered_current_roster,0,0,0,0,52,0,52,0,review_lifecycle_or_source_before_mutation
ABR Alternate Pathway to Certification,fellow,1,1,1,source_refresh_required_window,85,not_in_official_hup_audit,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
Abdominal Imaging Fellowship,fellow,9,1,9,source_refresh_required_window,85,covered_current_roster,0,0,9,0,0,0,9,0,refresh_source_before_retaining_state
Adult Congenital Heart Disease Fellowship,fellow,2,1,2,source_refresh_required_window,85,covered_current_roster,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Adult Reconstructive Orthopedics Fellowship,fellow,3,1,3,source_refresh_required_window,85,covered_current_roster,0,0,3,0,0,0,3,0,refresh_source_before_retaining_state
Advanced Gastroenterology and Hepatology Fellowship,fellow,2,1,2,source_refresh_required_window,85,not_in_official_hup_audit,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Advanced Heart Failure Transplant Cardiology Fellowship,fellow,2,1,2,source_refresh_required_window,85,covered_current_roster,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Advanced Musculoskeletal Fellowship,fellow,3,1,3,source_refresh_required_window,85,not_in_official_hup_audit,0,0,3,0,0,0,3,0,refresh_source_before_retaining_state
Advanced Noninvasive Cardiac Imaging Fellowship,fellow,2,1,2,source_refresh_required_window,85,not_in_official_hup_audit,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Advanced Nuclear Radiology Fellowship,fellow,1,1,1,source_refresh_required_window,85,not_in_official_hup_audit,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
Anesthesiology Residency,resident,97,1,97,source_refresh_required_window,85,covered_current_roster,71,23,3,0,0,71,3,23,refresh_source_before_retaining_state
Aortic Surgery Fellowship,fellow,2,1,2,source_refresh_required_window,85,not_in_official_hup_audit,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Breast Pathology Fellowship,fellow,1,1,1,source_refresh_required_window,85,not_in_official_hup_audit,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
CHOP Otolaryngology Fellowship,fellow,4,1,4,source_refresh_required_window,85,not_in_official_hup_audit,0,0,4,0,0,0,4,0,refresh_source_before_retaining_state
Cardio-Oncology Fellowship,fellow,2,1,2,source_refresh_required_window,85,not_in_official_hup_audit,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Cardiothoracic Fellowship,fellow,1,1,1,source_refresh_required_window,85,not_in_official_hup_audit,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
Cardiothoracic Surgery Residency,resident,15,1,15,source_refresh_required_window,85,covered_current_roster,8,2,5,0,0,8,5,2,refresh_source_before_retaining_state
Cardiothoracic Transplantation Surgery Fellowship,fellow,1,1,1,source_refresh_required_window,85,not_in_official_hup_audit,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
Clinical Cardiac Electrophysiology Fellowship,fellow,12,1,12,source_refresh_required_window,85,covered_current_roster,0,0,12,0,0,0,12,0,refresh_source_before_retaining_state
Clinical Chemistry Fellowship,fellow,2,1,2,source_refresh_required_window,85,not_in_official_hup_audit,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Clinical Microbiology Fellowship,fellow,2,1,2,source_refresh_required_window,85,not_in_official_hup_audit,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Colon and Rectal Surgery Fellowship,fellow,1,1,1,source_refresh_required_window,85,covered_current_roster,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
Craniofacial Surgery Fellowship,fellow,1,1,1,source_refresh_required_window,85,covered_current_roster,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
Cytopathology Fellowship,fellow,2,1,2,source_refresh_required_window,85,covered_current_roster,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
Diagnostic Radiology Residency,resident,54,1,54,source_refresh_required_window,85,covered_current_roster,0,0,54,0,0,0,54,0,refresh_source_before_retaining_state
Facial Plastic and Reconstructive Surgery Fellowship,fellow,1,1,1,source_refresh_required_window,85,not_in_official_hup_audit,0,0,1,0,0,0,1,0,refresh_source_before_retaining_state
Foot and Ankle Fellowship,fellow,2,1,2,source_refresh_required_window,85,not_in_official_hup_audit,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
GI/Hepatic Pathology Fellowship,fellow,2,1,2,source_refresh_required_window,85,covered_current_roster,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
General Surgery Residency,resident,75,1,75,source_refresh_required_window,85,covered_current_roster,36,13,26,0,0,36,26,13,refresh_source_before_retaining_state
Gynecologic Oncology Fellowship,fellow,6,1,6,source_refresh_required_window,85,covered_current_roster,0,0,6,0,0,0,6,0,refresh_source_before_retaining_state
Hand Surgery Fellowship,fellow,2,1,2,source_refresh_required_window,85,covered_current_roster,0,0,2,0,0,0,2,0,refresh_source_before_retaining_state
