candidate_output_bridge_key,gap_key,program_key,program_name,parser_scope_bridge_status,implementation_approval_rows,candidate_output_rows,candidate_fingerprint_rows,scope_metadata_rows,route_recourse_rows,candidate_output_status,candidate_output_coverage_status,next_required_approval,accepted_person_rows,parser_acceptance_allowed,person_ingestion_allowed,denominator_closure_allowed,school_verification_allowed,url_rewrite_allowed,identity_collapse_allowed,evidence_json,mutation_policy,generated_at
school_gap_resolution_candidate_output_bridge_00da41d23951a52fafbc,school_gap_resolution_0f722f151b4e935afbe1,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,covered_exact,1,4,4,0,0,candidate_fingerprints_verified,covered_by_verified_candidate_only_outputs,exact_candidate_review_queue_or_acceptance_packet_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_b4a0116d2d244ba64cd7"",""vanderbilt_candidate_only_parser_output_57b600c02a2c2941fee2"",""vanderbilt_candidate_only_parser_output_9253986e462148cf0ff2"",""vanderbilt_candidate_only_parser_output_5ebfd927ef176f46cd66""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_b86253e9d5b0157a5f53""],""output_kinds"":[""candidate_fingerprint""],""parser_families"":[""vumc_pediatrics_node_listing_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_5fdffff88b12f04a0eb9,school_gap_resolution_b37e2270125d92fba7e8,vanderbilt_program_fellowship-advanced-endoscopy-https-medicine-vumc-org-advanc_20ef397616c3,Advanced Endoscopy,covered_exact,1,1,0,1,0,scope_metadata_verified,covered_by_verified_scope_metadata,exact_scope_disposition_acceptance_or_parser_build_approval_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_b3e00d104b64c0458551""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_b61a431ed016f9001b35""],""output_kinds"":[""scope_metadata""],""parser_families"":[""vumc_medicine_division_fellows_shared_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_177e7de382704c090523,school_gap_resolution_ffc23da00829c1e061ae,vanderbilt_program_fellowship-advanced-inflammatory-bowel-disease-https-medicin_4a3960c8c48c,Advanced Inflammatory Bowel Disease,covered_exact,1,1,0,1,0,scope_metadata_verified,covered_by_verified_scope_metadata,exact_scope_disposition_acceptance_or_parser_build_approval_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_5fc2dcd1136a1f785c85""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_749b64d60bb21bba8bd3""],""output_kinds"":[""scope_metadata""],""parser_families"":[""vumc_medicine_division_fellows_shared_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_82a201e4b638c95dab53,school_gap_resolution_a1eec6daa5d6f7a13a75,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,covered_exact,1,4,4,0,0,candidate_fingerprints_verified,covered_by_verified_candidate_only_outputs,exact_candidate_review_queue_or_acceptance_packet_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_04fdc0c276b9eebe9e5a"",""vanderbilt_candidate_only_parser_output_22b21040ba3fb37af5be"",""vanderbilt_candidate_only_parser_output_3cac5d2793417125d4bb"",""vanderbilt_candidate_only_parser_output_1020a5a6cb05c5c193c6""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_1330ba3c270c297d9f18""],""output_kinds"":[""candidate_fingerprint""],""parser_families"":[""vumc_pediatrics_person_listing_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_a7d6328983ffbc10ff41,school_gap_resolution_fc81125bf7a9850abf6f,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,covered_exact,1,10,10,0,0,candidate_fingerprints_verified,covered_by_verified_candidate_only_outputs,exact_candidate_review_queue_or_acceptance_packet_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_e8a0ba29548599efe67e"",""vanderbilt_candidate_only_parser_output_b303fbafeeb732e73d8d"",""vanderbilt_candidate_only_parser_output_a2331b221d3a4e837c5e"",""vanderbilt_candidate_only_parser_output_5db253a37561d07ef7a5"",""vanderbilt_candidate_only_parser_output_844fc1eb470587939705"",""vanderbilt_candidate_only_parser_output_75f448a49e30de6bc771"",""vanderbilt_candidate_only_parser_output_54d7a2fbcbaed31b8b7c"",""vanderbilt_candidate_only_parser_output_70538157189d2f3aef51"",""vanderbilt_candidate_only_parser_output_3458a690e7d9e8646afb"",""vanderbilt_candidate_only_parser_output_fa5e90dbf8a00a79b2eb""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_1411fe0fed4db0618c8e""],""output_kinds"":[""candidate_fingerprint""],""parser_families"":[""vumc_medicine_division_fellows_shared_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_b45fc41dcfdf739f63a2,school_gap_resolution_f597e11575f734a40105,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,covered_exact,1,2,2,0,0,candidate_fingerprints_verified,covered_by_verified_candidate_only_outputs,exact_candidate_review_queue_or_acceptance_packet_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_c003a7c84b8e304575e0"",""vanderbilt_candidate_only_parser_output_bb5c799c78847042eac9""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_af8877a98c9000d0228c""],""output_kinds"":[""candidate_fingerprint""],""parser_families"":[""vumc_general_surgery_current_residents_rendered_review""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_5c32f9dd12d466a94472,school_gap_resolution_1695ed7c90ad875ce03a,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,covered_exact,1,19,19,0,0,candidate_fingerprints_verified,covered_by_verified_candidate_only_outputs,exact_candidate_review_queue_or_acceptance_packet_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_fa766f456160cfe28d0b"",""vanderbilt_candidate_only_parser_output_90ed8e33303e25628438"",""vanderbilt_candidate_only_parser_output_3388123fdfbfdf7cb813"",""vanderbilt_candidate_only_parser_output_04068678c13b94dc55e3"",""vanderbilt_candidate_only_parser_output_13efaabe5fc519931ee6"",""vanderbilt_candidate_only_parser_output_d042db3679050550e31c"",""vanderbilt_candidate_only_parser_output_06e21e92926c76f1d20d"",""vanderbilt_candidate_only_parser_output_8af58f820bba3772b60f"",""vanderbilt_candidate_only_parser_output_a35340e80c4df902230a"",""vanderbilt_candidate_only_parser_output_44ef97cc8a11a86ca12f"",""vanderbilt_candidate_only_parser_output_388002a37202c83d2300"",""vanderbilt_candidate_only_parser_output_9d676fac68417eee25d7"",""vanderbilt_candidate_only_parser_output_0cbe67ca5a36c0907289"",""vanderbilt_candidate_only_parser_output_29e9c57dba3263dfd495"",""vanderbilt_candidate_only_parser_output_aebf1ee255780eea8ebc"",""vanderbilt_candidate_only_parser_output_852c6084123933da4b10"",""vanderbilt_candidate_only_parser_output_740f7628d016d0b30a9f"",""vanderbilt_candidate_only_parser_output_bc99524abe65ae323dbb"",""vanderbilt_candidate_only_parser_output_1c3864c309b39363cee4""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_edc2736a419d39be76cc""],""output_kinds"":[""candidate_fingerprint""],""parser_families"":[""vumc_pediatrics_person_listing_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_0e1c3ed6ca78f80bcb0f,school_gap_resolution_db2a979fb7295562bc15,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,covered_exact,2,2,0,1,1,scope_metadata_verified,covered_by_verified_scope_metadata,exact_scope_disposition_acceptance_or_parser_build_approval_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_2d59970022dc3fac8372"",""vanderbilt_candidate_only_parser_output_da70efc4f326797f1638""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_889b4a066195a901fea8"",""vanderbilt_parser_scope_implementation_approval_d6775ae2dbe583e85a4a""],""output_kinds"":[""route_recourse"",""scope_metadata""],""parser_families"":[""http_error_recourse"",""vumc_orthopaedics_current_residents_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_4d22f7c60d39dd680471,school_gap_resolution_2ce2602fe81a45792925,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,covered_exact,1,17,17,0,0,candidate_fingerprints_verified,covered_by_verified_candidate_only_outputs,exact_candidate_review_queue_or_acceptance_packet_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_4ad208d02af5f13155a4"",""vanderbilt_candidate_only_parser_output_eedb6b31b84e2fd91dba"",""vanderbilt_candidate_only_parser_output_fa1127d6011d484c3ec2"",""vanderbilt_candidate_only_parser_output_834973612c19069066fb"",""vanderbilt_candidate_only_parser_output_7ac6338bf8965981bbf4"",""vanderbilt_candidate_only_parser_output_ff49078f0e39c42852ab"",""vanderbilt_candidate_only_parser_output_d3021eaaed382b9c99f3"",""vanderbilt_candidate_only_parser_output_8ac16964c3adf7d84420"",""vanderbilt_candidate_only_parser_output_5281e11c7753672d3801"",""vanderbilt_candidate_only_parser_output_7befe507435a9e954488"",""vanderbilt_candidate_only_parser_output_a5271055834413c04f24"",""vanderbilt_candidate_only_parser_output_3dfe5367951cd8189227"",""vanderbilt_candidate_only_parser_output_7fb96b224bbe2522975f"",""vanderbilt_candidate_only_parser_output_eb97338cb7655087c518"",""vanderbilt_candidate_only_parser_output_a6da29bd6104eb89945e"",""vanderbilt_candidate_only_parser_output_f6633736f3cb2af03841"",""vanderbilt_candidate_only_parser_output_e6927c06cbd56c57de00""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_91640981fe1ec7f7b757""],""output_kinds"":[""candidate_fingerprint""],""parser_families"":[""vumc_pediatrics_person_listing_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
school_gap_resolution_candidate_output_bridge_4c2c4dd8a4f888c2c1aa,school_gap_resolution_62172e6c6dacb6e00a3c,vanderbilt_program_fellowship-pediatric-emergency-medicine-https-pediatrics-vum_a6784ae6290b,Pediatric Emergency Medicine,covered_exact,1,17,17,0,0,candidate_fingerprints_verified,covered_by_verified_candidate_only_outputs,exact_candidate_review_queue_or_acceptance_packet_required,0,false,false,false,false,false,false,"{""candidate_evidence_only"":true,""candidate_output_keys"":[""vanderbilt_candidate_only_parser_output_1bbad1e1e1af8aba4bd3"",""vanderbilt_candidate_only_parser_output_c407049686ca0ed5404c"",""vanderbilt_candidate_only_parser_output_a242f4d8751851f14461"",""vanderbilt_candidate_only_parser_output_58a78aae8a4726626165"",""vanderbilt_candidate_only_parser_output_69c994d451e59372107e"",""vanderbilt_candidate_only_parser_output_ad4a51154f1a70541d74"",""vanderbilt_candidate_only_parser_output_89046229fffca518c5b4"",""vanderbilt_candidate_only_parser_output_c3bc6921e6e0aa373d03"",""vanderbilt_candidate_only_parser_output_80bd5f9c156ea05fe2b0"",""vanderbilt_candidate_only_parser_output_1da184720088d603b2b7"",""vanderbilt_candidate_only_parser_output_486be97cc70f2ed1d308"",""vanderbilt_candidate_only_parser_output_c0ed159105fd582f15b6"",""vanderbilt_candidate_only_parser_output_d320cf212e6dee1a5efd"",""vanderbilt_candidate_only_parser_output_04ab732f8e317e1115e3"",""vanderbilt_candidate_only_parser_output_86949de068ce093da37e"",""vanderbilt_candidate_only_parser_output_5b1683a093e019274680"",""vanderbilt_candidate_only_parser_output_916ff26962b24f28dd95""],""implementation_approval_keys"":[""vanderbilt_parser_scope_implementation_approval_87ad4fa015138bcc76d7""],""output_kinds"":[""candidate_fingerprint""],""parser_families"":[""vumc_pediatrics_person_listing_page""],""source_candidate_output_rowset_sha256"":""2740184f00379fd6b1885632ac13faec45ff96bfbf0a70130aa712e5966612ba"",""source_candidate_output_verification_rowset_sha256"":""918556f5b5a33b5d8e7181ed6654a9b7773b8c8a24f09f9a23b06c7157d39fe2"",""source_implementation_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40"",""source_parser_scope_bridge_rowset_sha256"":""942d131072d56524c9e19832c084b9e2520e43e783e3a9c0c6e2ae30c0f06912""}","Non-mutating bridge from Vanderbilt parser/scope bridge rows to approved candidate-only parser diagnostics. It records implementation approval coverage, candidate fingerprint counts, scope metadata, recourse rows, and verification status only. It does not accept parser outputs as people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw names, or collapse identities.",2026-06-09T08:11:00.598589+00:00
