triage_packet_key,triage_order,execution_order,school_gap_resolution_batch_key,school_name,triage_family,triage_status,urgency_score,priority_band,next_operator_lane,resolution_category,gap_count,program_count,supported_person_gap_count,candidate_source_gap_count,approved_non_mutating_disposition_gap_count,slice_output_path,slice_command,verification_command,target_artifact,required_next_evidence,recommended_next_action,success_condition,approval_required_for,prohibited_mutations,source_gap_rows,accepted_person_rows,person_ingestion_allowed,denominator_closure_allowed,school_verification_allowed,url_rewrite_allowed,identity_collapse_allowed,evidence_json,mutation_policy,generated_at
vanderbilt_open_gap_manifest_triage_packet_fccf0e09a31972a689b7,1,2,school_gap_resolution_batch_75872a4a947713732895,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,821,critical,manual_rendered_review_or_targeted_source_discovery,negative_route_evidence_recorded_manual_or_source_discovery_needed,18,18,1,18,0,/tmp/school_gap_resolution_batch_order_2.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 2 --output /tmp/school_gap_resolution_batch_order_2.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,"Perform rendered/manual review, hidden-route discovery, or broader official search before any closure packet.",execute_gap_resolution_batch_non_mutating,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_faf10264f58a6a0e8640,2,1,school_gap_resolution_batch_e81d6de09bb3a988757d,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,820,critical,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,9,9,5,9,9,/tmp/school_gap_resolution_batch_order_1.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 1 --output /tmp/school_gap_resolution_batch_order_1.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,execute_gap_resolution_batch_non_mutating,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_0dc687c687d92eea7628,3,3,school_gap_resolution_batch_b6fd195cf126548f4670,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,803,critical,linked_route_inspection_after_related_scope_source_discovery,open_gap_linked_route_inspection_after_related_scope_source_discovery,2,2,2,2,2,/tmp/school_gap_resolution_batch_order_3.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 3 --output /tmp/school_gap_resolution_batch_order_3.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Run route inspection on the linked roster candidate; keep outputs non-mutating until an exact packet is approved.,inspect_linked_roster_routes_after_related_scope_source_discovery,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_9d0850c1f1c03fe1e692,4,5,school_gap_resolution_batch_329bacd0349de0a4a8bc,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,798,high,rendered_parser_manual_review_after_related_scope_source_discovery,open_gap_rendered_parser_review_after_related_scope_source_discovery,7,7,5,7,7,/tmp/school_gap_resolution_batch_order_5.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 5 --output /tmp/school_gap_resolution_batch_order_5.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Run rendered/parser review on the target candidate URL; packetize only target-scope current trainee rows for later exact GBrain approval.,run_rendered_parser_manual_review_after_related_scope_source_discovery,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_4a93444dd01f38edfcfe,5,7,school_gap_resolution_batch_0ca7632e63b1a42db117,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,791,high,target_program_source_discovery_after_exclusion,faculty_leadership_exclusion_recorded_source_discovery_needed,16,16,16,16,16,/tmp/school_gap_resolution_batch_order_7.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 7 --output /tmp/school_gap_resolution_batch_order_7.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Keep faculty/leadership pages out of trainee truth and continue target-program source discovery.,execute_gap_resolution_batch_non_mutating,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_2a819275bd74dd63ba7b,6,4,school_gap_resolution_batch_715e34b498d3873311fb,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,782,high,manual_rendered_review_or_targeted_source_discovery,open_gap_manual_rendered_review_or_targeted_source_discovery_needed,1,1,0,1,1,/tmp/school_gap_resolution_batch_order_4.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 4 --output /tmp/school_gap_resolution_batch_order_4.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Preserve official current-fellows context as non-mutating evidence; continue rendered review or targeted source discovery.,execute_gap_resolution_batch_non_mutating,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_d570832dd11e17b09a31,7,8,school_gap_resolution_batch_421beff8f12a27747f0d,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,767,high,targeted_source_discovery_or_no_public_roster_closure_after_related_scope_source_discovery,open_gap_source_discovery_or_no_public_roster_closure_after_related_scope_source_discovery,2,2,0,2,2,/tmp/school_gap_resolution_batch_order_8.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 8 --output /tmp/school_gap_resolution_batch_order_8.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Continue targeted source discovery or build a no-public-current-roster closure packet; do not infer people from context/faculty text.,continue_targeted_source_discovery_or_prepare_no_public_roster_closure_packet,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_34578f3e880606a5dbf3,8,6,school_gap_resolution_batch_1bbaab42286f12e8ffd2,VANDERBILT UNIVERSITY SCH OF MEDICINE,scope_or_shared_source_review,ready_for_non_mutating_gap_slice_execution,745,high,shared_source_program_scope_review_packet,shared_or_related_program_scope_review_needed,5,5,3,3,5,/tmp/school_gap_resolution_batch_order_6.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 6 --output /tmp/school_gap_resolution_batch_order_6.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Review section-to-program scope manually before any person acceptance; do not reuse shared-source names without exact section mapping.,execute_gap_resolution_batch_non_mutating,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_0a09dc09d1d9dbd44c55,9,9,school_gap_resolution_batch_5e5fa6effeb38a9bf3c4,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,584,low,program_page_probe,first_hop_program_probe_needed,9,9,0,0,0,/tmp/school_gap_resolution_batch_order_9.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 9 --output /tmp/school_gap_resolution_batch_order_9.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Probe the linked official Vanderbilt program URL for current roster routes before person ingestion or closure.,probe_program_page_for_current_roster_routes,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
vanderbilt_open_gap_manifest_triage_packet_2deb902d4f6478650b23,10,11,school_gap_resolution_batch_694c0aa2d95ef37b9058,VANDERBILT UNIVERSITY SCH OF MEDICINE,source_discovery_or_program_probe,ready_for_non_mutating_gap_slice_execution,583,low,targeted_source_discovery_after_parent_url_resolution,official_parent_url_resolution_recorded_source_discovery_needed,8,8,0,0,0,/tmp/school_gap_resolution_batch_order_11.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 11 --output /tmp/school_gap_resolution_batch_order_11.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py && python3 scripts/materialize_vanderbilt_open_gap_manifest_triage_packet.py,artifacts/data/vanderbilt_open_gap_manifest_triage_packet.csv,Use this parent/alias official URL for source discovery and route probing; require later exact parser or closure approval.,run_targeted_source_discovery_from_parent_or_alias_url,"A contributor can select one /tmp slice, collect or classify non-mutating source evidence, and stop at packet preparation without accepting people or closing denominators.",person_ingestion; denominator_closure; vanderbilt_school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,113,0,false,false,false,false,false,"{""gbrain_advisory_effect"":""gbrain_selected_vanderbilt_open_gap_manifest_triage_packet_option_b"",""slice_definition_contract"":""artifacts/data/vanderbilt_triage_slice_definition_contract_summary.json"",""source_batch_summary"":""artifacts/data/school_gap_resolution_batch_summary.json"",""source_checks"":{""batch_gap_rows"":true,""batch_mutation_false"":true,""batch_rows"":true,""manifest_mutation_false"":true,""manifest_rows"":true,""manifest_school"":true,""packet_batch_rows"":true,""packet_mutation_false"":true,""packet_rows"":true,""slice_gap_rows"":true,""slice_mutation_false"":true,""slice_rows"":true,""slice_rowset"":true,""slice_tmp_only"":true},""source_slice_summary"":""artifacts/data/school_gap_resolution_batch_slice_index_summary.json""}","Non-mutating Vanderbilt open-gap manifest triage packet. It ranks the committed 21 Vanderbilt gap-resolution batch slices covering 113 open gaps and records slice-definition boundaries for contributor execution. It does not fetch web pages, fill reviewer decisions, apply patches, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T10:09:08.340943+00:00
