claim_type,claim_value,confidence,department,display_name,event_type,event_year,evidence_text,match_features,organization_name,program_context,source_key,source_type,source_url,status
education_history_candidate,"Matriculating at Wake Forest University School of Medicine in 2002, she spent the next four years developing a love for Anesthesiology and Critical Care.",0.5,Department of Anesthesiology and Critical Care,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,2002,"Matriculating at Wake Forest University School of Medicine in 2002, she spent the next four years developing a love for Anesthesiology and Critical Care.","['official_penn_profile', 'profile_name_match', 'education_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,candidate
penn_training_history_candidate,"After graduating from Wake Forest in 2006, she moved with her family to Philadelphia and started her Anesthesiology training at the Hospital of the University of Pennsylvania.",0.72,Department of Anesthesiology and Critical Care,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,2006,"After graduating from Wake Forest in 2006, she moved with her family to Philadelphia and started her Anesthesiology training at the Hospital of the University of Pennsylvania.","['official_penn_profile', 'profile_name_match', 'penn_training_language']",University of Pennsylvania / Penn Medicine,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,needs_review
penn_training_history_candidate,"Following completion of her residency in 2010, she pursued two additional fellowships in Adult Cardiothoracic Anesthesiology and Critical Care medicine at HUP, finishing her graduate medical education in 2012.",0.72,Department of Anesthesiology and Critical Care,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,2012,"Following completion of her residency in 2010, she pursued two additional fellowships in Adult Cardiothoracic Anesthesiology and Critical Care medicine at HUP, finishing her graduate medical education in 2012.","['official_penn_profile', 'profile_name_match', 'penn_training_language']",University of Pennsylvania / Penn Medicine,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,needs_review
research_interest_candidate,Dr. Gordon also has research interests in the significance of debriefing and the use of technology in education.,0.55,Department of Anesthesiology and Critical Care,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,,Dr. Gordon also has research interests in the significance of debriefing and the use of technology in education.,"['official_penn_profile', 'profile_name_match', 'research_interest_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,candidate
personal_profile_candidate,"Outside of the hospital, Dr. Gordon lives in the Philadelphia suburbs with her husband, also a physician, and their four children.",0.45,Department of Anesthesiology and Critical Care,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,,"Outside of the hospital, Dr. Gordon lives in the Philadelphia suburbs with her husband, also a physician, and their four children.","['official_penn_profile', 'profile_name_match', 'personal_profile_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,candidate
education_history_candidate,"Jesse Kiefer MD MSEd was raised in the Scranton, Pennsylvania area, later graduating from the University of Scranton.",0.5,Department of Anesthesiology and Critical Care,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,,"Jesse Kiefer MD MSEd was raised in the Scranton, Pennsylvania area, later graduating from the University of Scranton.","['official_penn_profile', 'profile_name_match', 'education_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,candidate
prior_training_history_candidate,"Following graduation, he moved to Baltimore, Maryland to complete his anesthesiology residency at the University of Maryland, where he was chief resident.",0.52,Department of Anesthesiology and Critical Care,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,,"Following graduation, he moved to Baltimore, Maryland to complete his anesthesiology residency at the University of Maryland, where he was chief resident.","['official_penn_profile', 'profile_name_match', 'training_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,candidate
prior_training_history_candidate,"He then chose to pursue additional training in critical care medicine, completing his critical care fellowship at Vanderbilt University in 2017.",0.52,Department of Anesthesiology and Critical Care,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,2017,"He then chose to pursue additional training in critical care medicine, completing his critical care fellowship at Vanderbilt University in 2017.","['official_penn_profile', 'profile_name_match', 'training_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,candidate
prior_training_history_candidate,"Having experienced considerable curricular and evaluative change throughout his residency, Dr. Kiefer developed a passion for graduate medical education.",0.52,Department of Anesthesiology and Critical Care,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,,"Having experienced considerable curricular and evaluative change throughout his residency, Dr. Kiefer developed a passion for graduate medical education.","['official_penn_profile', 'profile_name_match', 'training_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,candidate
prior_training_history_candidate,"Upon completing his Master’s in 2020, Dr. Kiefer joined the residency leadership team.",0.52,Department of Anesthesiology and Critical Care,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,2020,"Upon completing his Master’s in 2020, Dr. Kiefer joined the residency leadership team.","['official_penn_profile', 'profile_name_match', 'training_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,candidate
personal_profile_candidate,"Outside of the hospital, he enjoys family time, cooking, homebrewing, and weekends in Cape May.",0.45,Department of Anesthesiology and Critical Care,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,,"Outside of the hospital, he enjoys family time, cooking, homebrewing, and weekends in Cape May.","['official_penn_profile', 'profile_name_match', 'personal_profile_language']",,Department of Anesthesiology Education Leadership Team,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,official_attending_profile,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,candidate
