rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,policy_lane,diff_readiness_status,projected_refresh_date,state_observation_count,person_count,program_count,deterministic_advancement_count,deterministic_completion_count,source_refresh_required_count,human_review_required_count,no_change_expected_count,stale_by_refresh_count,auto_classifiable_transition_count,fresh_observation_required_count,dominant_policy_lane,dominant_diff_readiness_status,recommended_operator_action,evidence_json
training_transition_plan_rollup_c74b319ce78dcb063eff,corpus,all_penn_affiliated_medical_trainees,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,1682,1535,95,659,252,627,131,13,1669,911,1669,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 131, ""diff_source_refresh_bound"": 627}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75, ""US_GME_FELLOWSHIP_1Y"": 92, ""US_GME_FELLOWSHIP_2Y"": 86, ""US_GME_FELLOWSHIP_3Y"": 124, ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 76, ""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_3Y"": 351, ""US_GME_RESIDENCY_4Y"": 137, ""US_GME_RESIDENCY_5Y"": 309, ""US_GME_RESIDENCY_6Y"": 56, ""US_GME_RESIDENCY_7Y"": 21, ""US_GME_RESIDENCY_DURATION_UNKNOWN"": 104, ""US_MD_PHD_MSTP_VARIABLE"": 225, ""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252, ""manual_review_required"": 131, ""source_refresh_required"": 627}, ""role_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}, ""trainee_category_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}}"
training_transition_plan_rollup_560299be899c8eb26ecd,country,US,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,1682,1535,95,659,252,627,131,13,1669,911,1669,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 131, ""diff_source_refresh_bound"": 627}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75, ""US_GME_FELLOWSHIP_1Y"": 92, ""US_GME_FELLOWSHIP_2Y"": 86, ""US_GME_FELLOWSHIP_3Y"": 124, ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 76, ""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_3Y"": 351, ""US_GME_RESIDENCY_4Y"": 137, ""US_GME_RESIDENCY_5Y"": 309, ""US_GME_RESIDENCY_6Y"": 56, ""US_GME_RESIDENCY_7Y"": 21, ""US_GME_RESIDENCY_DURATION_UNKNOWN"": 104, ""US_MD_PHD_MSTP_VARIABLE"": 225, ""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252, ""manual_review_required"": 131, ""source_refresh_required"": 627}, ""role_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}, ""trainee_category_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}}"
training_transition_plan_rollup_faec629ce6b369e48492,diff_readiness_status,diff_expected_change_classifiable,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,911,775,32,659,252,0,0,0,911,911,911,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75, ""US_GME_FELLOWSHIP_2Y"": 54, ""US_GME_FELLOWSHIP_3Y"": 107, ""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_3Y"": 341, ""US_GME_RESIDENCY_4Y"": 130, ""US_GME_RESIDENCY_5Y"": 140, ""US_GME_RESIDENCY_6Y"": 30, ""US_GME_RESIDENCY_7Y"": 21}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252}, ""role_counts"": {""fellow"": 161, ""resident"": 750}, ""trainee_category_counts"": {""fellow"": 161, ""resident"": 750}}"
training_transition_plan_rollup_d087c950694d5a27219a,diff_readiness_status,diff_no_change_expected,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,none,carry_forward_no_change,diff_no_change_expected,2027-08-15,13,13,1,0,0,0,0,13,0,0,0,carry_forward_no_change,diff_no_change_expected,monitor_or_retain_until_fresh_source_contradiction,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_no_change_expected"": 13}, ""lifecycle_code_counts"": {""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13}, ""role_counts"": {""fellow"": 13}, ""trainee_category_counts"": {""fellow"": 13}}"
training_transition_plan_rollup_fce70d5ded7b221733d3,diff_readiness_status,diff_review_bound,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_DURATION_UNKNOWN,manual_review_required,diff_review_bound,2027-08-15,131,126,11,0,0,0,131,0,131,0,131,manual_review_required,diff_review_bound,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_review_bound"": 131}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 1, ""US_GME_FELLOWSHIP_2Y"": 5, ""US_GME_FELLOWSHIP_3Y"": 7, ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 12, ""US_GME_RESIDENCY_3Y"": 10, ""US_GME_RESIDENCY_DURATION_UNKNOWN"": 96}, ""policy_lane_counts"": {""manual_review_required"": 131}, ""role_counts"": {""fellow"": 25, ""resident"": 106}, ""trainee_category_counts"": {""fellow"": 25, ""resident"": 106}}"
training_transition_plan_rollup_31c23712917c872c8fe0,diff_readiness_status,diff_source_refresh_bound,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,,US_MD_PHD_MSTP_VARIABLE,source_refresh_required,diff_source_refresh_bound,2027-08-15,627,627,74,0,0,627,0,0,627,0,627,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 627}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 91, ""US_GME_FELLOWSHIP_2Y"": 27, ""US_GME_FELLOWSHIP_3Y"": 10, ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 64, ""US_GME_RESIDENCY_4Y"": 7, ""US_GME_RESIDENCY_5Y"": 169, ""US_GME_RESIDENCY_6Y"": 26, ""US_GME_RESIDENCY_DURATION_UNKNOWN"": 8, ""US_MD_PHD_MSTP_VARIABLE"": 225}, ""policy_lane_counts"": {""source_refresh_required"": 627}, ""role_counts"": {""fellow"": 192, ""medical_student"": 225, ""resident"": 210}, ""trainee_category_counts"": {""fellow"": 192, ""medical_student"": 225, ""resident"": 210}}"
training_transition_plan_rollup_6c8a4d51704a14b7aa19,institution,University of Pennsylvania Health System / Perelman School of Medicine,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,1682,1535,95,659,252,627,131,13,1669,911,1669,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 131, ""diff_source_refresh_bound"": 627}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75, ""US_GME_FELLOWSHIP_1Y"": 92, ""US_GME_FELLOWSHIP_2Y"": 86, ""US_GME_FELLOWSHIP_3Y"": 124, ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 76, ""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_3Y"": 351, ""US_GME_RESIDENCY_4Y"": 137, ""US_GME_RESIDENCY_5Y"": 309, ""US_GME_RESIDENCY_6Y"": 56, ""US_GME_RESIDENCY_7Y"": 21, ""US_GME_RESIDENCY_DURATION_UNKNOWN"": 104, ""US_MD_PHD_MSTP_VARIABLE"": 225, ""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252, ""manual_review_required"": 131, ""source_refresh_required"": 627}, ""role_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}, ""trainee_category_counts"": {""fellow"": 391, ""medical_student"": 225, ""resident"": 1066}}"
training_transition_plan_rollup_d312670ba0723cb55996,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::fellow,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_3Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,391,385,66,100,61,192,25,13,378,161,378,source_refresh_required,diff_source_refresh_bound,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 161, ""diff_no_change_expected"": 13, ""diff_review_bound"": 25, ""diff_source_refresh_bound"": 192}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 92, ""US_GME_FELLOWSHIP_2Y"": 86, ""US_GME_FELLOWSHIP_3Y"": 124, ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 76, ""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 100, ""deterministic_expected_completion"": 61, ""manual_review_required"": 25, ""source_refresh_required"": 192}, ""role_counts"": {""fellow"": 391}, ""trainee_category_counts"": {""fellow"": 391}}"
training_transition_plan_rollup_aeafbbed1a774fc65fa1,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::medical_student,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,,US_MD_PHD_MSTP_VARIABLE,source_refresh_required,diff_source_refresh_bound,2027-08-15,225,225,1,0,0,225,0,0,225,0,225,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 225}, ""lifecycle_code_counts"": {""US_MD_PHD_MSTP_VARIABLE"": 225}, ""policy_lane_counts"": {""source_refresh_required"": 225}, ""role_counts"": {""medical_student"": 225}, ""trainee_category_counts"": {""medical_student"": 225}}"
training_transition_plan_rollup_14891ad3ed8216a30385,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::resident,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,1066,925,29,559,191,210,106,0,1066,750,1066,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 750, ""diff_review_bound"": 106, ""diff_source_refresh_bound"": 210}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75, ""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_3Y"": 351, ""US_GME_RESIDENCY_4Y"": 137, ""US_GME_RESIDENCY_5Y"": 309, ""US_GME_RESIDENCY_6Y"": 56, ""US_GME_RESIDENCY_7Y"": 21, ""US_GME_RESIDENCY_DURATION_UNKNOWN"": 104}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 559, ""deterministic_expected_completion"": 191, ""manual_review_required"": 106, ""source_refresh_required"": 210}, ""role_counts"": {""resident"": 1066}, ""trainee_category_counts"": {""resident"": 1066}}"
