program_name,role,person_count,state_observation_count,dominant_lifecycle_code,dominant_clock_model,worst_state_machine_status,stale_state_count,ready_for_expected_advancement_count,review_required_count,source_refresh_required_count,annual_clock_active_count,terminal_year_active_count,recommended_action
Cardiovascular Disease Fellowship,fellow,33,33,US_GME_FELLOWSHIP_3Y,annual_gme_july,review_required,0,0,1,0,22,10,review_lifecycle_rule_or_source_label
Geriatric Medicine Fellowship,fellow,3,3,US_GME_FELLOWSHIP_1Y,source_refresh_required,review_required,0,0,1,2,0,0,review_lifecycle_rule_or_source_label
Infectious Diseases Fellowship,fellow,15,17,US_GME_FELLOWSHIP_2Y,annual_gme_july,review_required,0,0,2,3,6,6,review_lifecycle_rule_or_source_label
Pulmonary and Critical Care Fellowship,fellow,34,34,US_GME_FELLOWSHIP_3Y,annual_gme_july,review_required,0,0,6,3,16,9,review_lifecycle_rule_or_source_label
Reproductive Endocrinology and Infertility Fellowship,fellow,6,6,US_GME_FELLOWSHIP_2Y,annual_gme_july,review_required,0,0,2,0,2,2,review_lifecycle_rule_or_source_label
Rheumatology Fellowship,fellow,15,15,US_GME_FELLOWSHIP_2Y,annual_gme_july,review_required,0,0,1,4,5,5,review_lifecycle_rule_or_source_label
Internal Medicine Residency - Global Health Equities Track,resident,20,32,US_GME_RESIDENCY_3Y,annual_gme_july,review_required,0,0,8,0,9,15,review_lifecycle_rule_or_source_label
Internal Medicine Residency - Medical Education Leadership Track,resident,9,13,US_GME_RESIDENCY_3Y,annual_gme_july,review_required,0,0,2,0,2,9,review_lifecycle_rule_or_source_label
ABR Alternate Pathway to Certification,fellow,1,1,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
Abdominal Imaging Fellowship,fellow,9,9,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,9,0,0,refresh_source_before_mutation
Adult Congenital Heart Disease Fellowship,fellow,2,2,US_GME_FELLOWSHIP_2Y,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Adult Reconstructive Orthopedics Fellowship,fellow,3,3,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,3,0,0,refresh_source_before_mutation
Advanced Gastroenterology and Hepatology Fellowship,fellow,2,2,US_GME_FELLOWSHIP_3Y,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Advanced Heart Failure Transplant Cardiology Fellowship,fellow,2,2,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Advanced Musculoskeletal Fellowship,fellow,3,3,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,3,0,0,refresh_source_before_mutation
Advanced Noninvasive Cardiac Imaging Fellowship,fellow,2,2,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Advanced Nuclear Radiology Fellowship,fellow,1,1,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
Aortic Surgery Fellowship,fellow,2,2,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Breast Pathology Fellowship,fellow,1,1,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
CHOP Otolaryngology Fellowship,fellow,4,4,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,4,0,0,refresh_source_before_mutation
Cardio-Oncology Fellowship,fellow,2,2,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Cardiothoracic Fellowship,fellow,1,1,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
Cardiothoracic Transplantation Surgery Fellowship,fellow,1,1,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
Clinical Cardiac Electrophysiology Fellowship,fellow,12,12,US_GME_FELLOWSHIP_2Y,source_refresh_required,source_refresh_required,0,0,0,12,0,0,refresh_source_before_mutation
Clinical Chemistry Fellowship,fellow,2,2,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Clinical Microbiology Fellowship,fellow,2,2,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Colon and Rectal Surgery Fellowship,fellow,1,1,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
Craniofacial Surgery Fellowship,fellow,1,1,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
Cytopathology Fellowship,fellow,2,2,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Facial Plastic and Reconstructive Surgery Fellowship,fellow,1,1,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,1,0,0,refresh_source_before_mutation
Foot and Ankle Fellowship,fellow,2,2,US_GME_FELLOWSHIP_1Y,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
GI/Hepatic Pathology Fellowship,fellow,2,2,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,2,0,0,refresh_source_before_mutation
Gynecologic Oncology Fellowship,fellow,6,6,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,source_refresh_required,0,0,0,6,0,0,refresh_source_before_mutation
