rollup_key,rollup_scope,rollup_value,fact_family,record_type,contract_count,person_count,source_count,accepted_count,candidate_or_review_count,stale_count,refresh_required_count,durable_count,review_bound_count,dominant_next_refresh_contract,guardrail_status,recommended_operator_action,evidence_json,generated_at
evidence_contract_rollup_fb03bf01585952af355a,corpus,all,,,10386,1527,1018,2705,7676,0,3759,1780,7676,retain_publication_fact_but_refresh_research_search_for_new_outputs,review_bound,review_identity_anchors_then_periodically_collect_new_publications,"{""by_current_contract_status"": {""durable_until_contradicted"": 1780, ""fresh_until_stale_after"": 930, ""review_bound_not_accepted_truth"": 7676}, ""by_fact_family"": {""attending_trend"": 3, ""contact"": 313, ""official_profile"": 954, ""prior_training_or_education"": 3131, ""profile_context"": 1133, ""research"": 4852}, ""by_next_refresh_contract"": {""refresh_current_attending_endpoint_before_using_as_current_trend_fact"": 3, ""reobserve_profile_context_before_default_display_or_current-interest_claim"": 1133, ""reobserve_profile_url_hash_before_promoting_or_reusing_profile_context"": 954, ""retain_historical_fact_once_verified; refresh_candidate_source_before_acceptance"": 3131, ""retain_publication_fact_but_refresh_research_search_for_new_outputs"": 4852, ""verify_same_contact_value_on_current_official_source_before_use"": 313}, ""by_record_type"": {""accepted_attending_trend_fact"": 3, ""accepted_enrichment_claim"": 5, ""evidence_claim"": 10065, ""person_contact"": 313}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_b8c0e9208b784578a41e,current_contract_status,durable_until_contradicted,,,1780,1094,58,1775,0,0,0,1780,0,retain_historical_fact_once_verified; refresh_candidate_source_before_acceptance,durable_until_contradicted,confirm_background_field_or_collect_corroborating_source,"{""by_current_contract_status"": {""durable_until_contradicted"": 1780}, ""by_fact_family"": {""prior_training_or_education"": 1775, ""research"": 5}, ""by_next_refresh_contract"": {""retain_historical_fact_once_verified; refresh_candidate_source_before_acceptance"": 1775, ""retain_publication_fact_but_refresh_research_search_for_new_outputs"": 5}, ""by_record_type"": {""accepted_enrichment_claim"": 5, ""evidence_claim"": 1775}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_e9897ac83eea7041bac1,current_contract_status,fresh_until_stale_after,,,930,927,928,930,0,0,930,0,0,reobserve_profile_url_hash_before_promoting_or_reusing_profile_context,refresh_bound,refresh_official_profile_url_or_keep_as_historical_profile_locator,"{""by_current_contract_status"": {""fresh_until_stale_after"": 930}, ""by_fact_family"": {""attending_trend"": 3, ""official_profile"": 927}, ""by_next_refresh_contract"": {""refresh_current_attending_endpoint_before_using_as_current_trend_fact"": 3, ""reobserve_profile_url_hash_before_promoting_or_reusing_profile_context"": 927}, ""by_record_type"": {""accepted_attending_trend_fact"": 3, ""evidence_claim"": 927}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_a416fc5b6fe2b913c355,current_contract_status,review_bound_not_accepted_truth,,,7676,1527,950,0,7676,0,2829,0,7676,retain_publication_fact_but_refresh_research_search_for_new_outputs,review_bound,review_identity_anchors_then_periodically_collect_new_publications,"{""by_current_contract_status"": {""review_bound_not_accepted_truth"": 7676}, ""by_fact_family"": {""contact"": 313, ""official_profile"": 27, ""prior_training_or_education"": 1356, ""profile_context"": 1133, ""research"": 4847}, ""by_next_refresh_contract"": {""reobserve_profile_context_before_default_display_or_current-interest_claim"": 1133, ""reobserve_profile_url_hash_before_promoting_or_reusing_profile_context"": 27, ""retain_historical_fact_once_verified; refresh_candidate_source_before_acceptance"": 1356, ""retain_publication_fact_but_refresh_research_search_for_new_outputs"": 4847, ""verify_same_contact_value_on_current_official_source_before_use"": 313}, ""by_record_type"": {""evidence_claim"": 7363, ""person_contact"": 313}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_ebeba203af298b087af3,fact_family,attending_trend,attending_trend,,3,0,1,3,0,0,3,0,0,refresh_current_attending_endpoint_before_using_as_current_trend_fact,refresh_bound,refresh_current_attending_endpoint_and_preserve_training_bridge_provenance,"{""by_current_contract_status"": {""fresh_until_stale_after"": 3}, ""by_fact_family"": {""attending_trend"": 3}, ""by_next_refresh_contract"": {""refresh_current_attending_endpoint_before_using_as_current_trend_fact"": 3}, ""by_record_type"": {""accepted_attending_trend_fact"": 3}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_69a14bdb2e97300ef6f5,fact_family,contact,contact,,313,279,7,0,313,0,313,0,313,verify_same_contact_value_on_current_official_source_before_use,review_bound,refresh_public_contact_source_or_record_explicit_contact_review,"{""by_current_contract_status"": {""review_bound_not_accepted_truth"": 313}, ""by_fact_family"": {""contact"": 313}, ""by_next_refresh_contract"": {""verify_same_contact_value_on_current_official_source_before_use"": 313}, ""by_record_type"": {""person_contact"": 313}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_a10fe2d1f26f5ffd9206,fact_family,official_profile,official_profile,,954,954,954,927,27,0,954,0,27,reobserve_profile_url_hash_before_promoting_or_reusing_profile_context,review_bound,refresh_official_profile_url_or_keep_as_historical_profile_locator,"{""by_current_contract_status"": {""fresh_until_stale_after"": 927, ""review_bound_not_accepted_truth"": 27}, ""by_fact_family"": {""official_profile"": 954}, ""by_next_refresh_contract"": {""reobserve_profile_url_hash_before_promoting_or_reusing_profile_context"": 954}, ""by_record_type"": {""evidence_claim"": 954}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_96f6d9ca5bbf27801c6b,fact_family,prior_training_or_education,prior_training_or_education,,3131,1314,964,1775,1356,0,1356,1775,1356,retain_historical_fact_once_verified; refresh_candidate_source_before_acceptance,review_bound,confirm_background_field_or_collect_corroborating_source,"{""by_current_contract_status"": {""durable_until_contradicted"": 1775, ""review_bound_not_accepted_truth"": 1356}, ""by_fact_family"": {""prior_training_or_education"": 3131}, ""by_next_refresh_contract"": {""retain_historical_fact_once_verified; refresh_candidate_source_before_acceptance"": 3131}, ""by_record_type"": {""evidence_claim"": 3131}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_0b05ca5f58f31e38ef03,fact_family,profile_context,profile_context,,1133,384,384,0,1133,0,1133,0,1133,reobserve_profile_context_before_default_display_or_current-interest_claim,review_bound,reobserve_profile_context_and_apply_display_safety_review,"{""by_current_contract_status"": {""review_bound_not_accepted_truth"": 1133}, ""by_fact_family"": {""profile_context"": 1133}, ""by_next_refresh_contract"": {""reobserve_profile_context_before_default_display_or_current-interest_claim"": 1133}, ""by_record_type"": {""evidence_claim"": 1133}}",2026-06-02T22:02:45.750010+00:00
evidence_contract_rollup_5086f511b313754cba6c,fact_family,research,research,,4852,1516,3,0,4847,0,0,5,4847,retain_publication_fact_but_refresh_research_search_for_new_outputs,review_bound,review_identity_anchors_then_periodically_collect_new_publications,"{""by_current_contract_status"": {""durable_until_contradicted"": 5, ""review_bound_not_accepted_truth"": 4847}, ""by_fact_family"": {""research"": 4852}, ""by_next_refresh_contract"": {""retain_publication_fact_but_refresh_research_search_for_new_outputs"": 4852}, ""by_record_type"": {""accepted_enrichment_claim"": 5, ""evidence_claim"": 4847}}",2026-06-02T22:02:45.750010+00:00
